	code	eps_x	eps_yoy	bvps	roe_x	epcf	net_profits_x	profits_yoy	distrib	report_date	roe_y	net_profit_ratio	gross_profit_rate	net_profits_y	eps_y	business_income	bips	arturnover	arturndays	inventory_turnover	inventory_days	currentasset_turnover	currentasset_days	mbrg	nprg	nav	targ	epsg	seg	currentratio	quickratio	cashratio	icratio	sheqratio	adratio	cf_sales	rateofreturn	cf_nm	cf_liabilities	cashflowratio
2188	300457	0.94	91.84	NaN	11.91	NaN	11432.76	98.24	10转15	08-22	9.98	15.51	34.3378	114.3276	0.9222	736.8527	5.9441	1.4198	126.7784	0.9238	194.8474	0.5294	340.0076	125.9855	104.0307	103.5029	72.1359	91.8367	103.3784	1.2257	0.7904	6.3533	1541.815	44.4139	55.5861	-0.2064	-0.0582	-1.2777	-0.1047	-11.5072
2189	300457	0.94	91.84	NaN	11.91	NaN	11432.76	98.24	10转15	08-22	9.98	15.51	34.3378	114.3276	0.9222	736.8527	5.9441	1.4198	126.7784	0.9238	194.8474	0.5294	340.0076	125.9855	104.0307	103.5029	72.1359	91.8367	103.3784	1.2257	0.7904	6.3533	1541.815	44.4139	55.5861	-0.2064	-0.0582	-1.2777	-0.1047	-11.5072
2190	002709	0.55	-8.71	NaN	10.36	NaN	17678.17	-8.22	NaN	08-22	10.14	18.9	36.1338	176.7817	0.5438	935.1433	2.8769	1.828	98.4683	2.6846	67.0491	0.7411	242.8822	16.7579	-8.8533	35.5203	48.7009	-8.7137	28.8937	1.5434	1.2524	20.5078	3116.1351	65.9511	34.0489	-0.0099	-0.0033	-0.0528	-0.0097	-1.0435
2191	002709	0.55	-8.71	NaN	10.36	NaN	17678.17	-8.22	NaN	08-22	10.14	18.9	36.1338	176.7817	0.5438	935.1433	2.8769	1.828	98.4683	2.6846	67.0491	0.7411	242.8822	16.7579	-8.8533	35.5203	48.7009	-8.7137	28.8937	1.5434	1.2524	20.5078	3116.1351	65.9511	34.0489	-0.0099	-0.0033	-0.0528	-0.0097	-1.0435
2192	600370	0.04	-10.98	NaN	2.31	NaN	2907.25	-11.12	NaN	08-22	2.31	6.14	15.7593	29.0725	0.0364	473.389	0.5937	4.5311	39.7255	2.3676	76.0264	0.3472	518.4332	11.1516	-6.2548	2.896	5.2295	-10.9756	1.9281	6.1916	5.3616	454.0652	-984.3989	87.0212	12.9788	0.0231	0.0063	0.2552	0.0485	4.8529
2193	600370	0.04	-10.98	NaN	2.31	NaN	2907.25	-11.12	NaN	08-22	2.31	6.14	15.7593	29.0725	0.0364	473.389	0.5937	4.5311	39.7255	2.3676	76.0264	0.3472	518.4332	11.1516	-6.2548	2.896	5.2295	-10.9756	1.9281	6.1916	5.3616	454.0652	-984.3989	87.0212	12.9788	0.0231	0.0063	0.2552	0.0485	4.8529
2194	603855	0.12	5.52	NaN	3.67	NaN	3207.35	11.37	NaN	08-22	2.41	5.82	49.6362	32.0735	0.0968	550.8485	1.6638	0.705	255.3191	1.0793	166.7748	0.3624	496.6887	31.23	11.3681	NaN	NaN	5.5172	NaN	1.8898	1.5591	64.6953	681.8064	59.6758	40.3242	-0.0836	-0.0207	-1.436	-0.0513	-5.1344
2195	603855	0.12	5.52	NaN	3.67	NaN	3207.35	11.37	NaN	08-22	2.41	5.82	49.6362	32.0735	0.0968	550.8485	1.6638	0.705	255.3191	1.0793	166.7748	0.3624	496.6887	31.23	11.3681	NaN	NaN	5.5172	NaN	1.8898	1.5591	64.6953	681.8064	59.6758	40.3242	-0.0836	-0.0207	-1.436	-0.0513	-5.1344
2196	002483	0.11	-31.25	NaN	2.15	NaN	5262.51	-21.08	NaN	08-22	2.16	6.29	28.1498	52.6251	0.0782	836.5023	1.2439	3.0842	58.362	0.4201	428.4694	0.318	566.0377	-46.0807	-36.5129	1.8182	9.5364	-31.25	1.1585	1.8087	0.7926	46.3283	715.9447	61.1508	38.8492	-0.1011	-0.0183	-1.0592	-0.0472	-6.0082
2197	002483	0.11	-31.25	NaN	2.15	NaN	5262.51	-21.08	NaN	08-22	2.16	6.29	28.1498	52.6251	0.0782	836.5023	1.2439	3.0842	58.362	0.4201	428.4694	0.318	566.0377	-46.0807	-36.5129	1.8182	9.5364	-31.25	1.1585	1.8087	0.7926	46.3283	715.9447	61.1508	38.8492	-0.1011	-0.0183	-1.0592	-0.0472	-6.0082
2198	300649	0.24	9.09	NaN	6.36	NaN	1284.82	24.4	10转10	08-22	4.39	19.92	57.4352	12.8482	0.2007	64.4918	1.0076	0.7978	225.6205	NaN	NaN	0.4942	364.225	26.8015	24.4032	NaN	NaN	9.0909	NaN	4.3024	4.3024	152.9141	1182.9414	89.1982	10.8018	-0.0813	-0.016	-0.4083	-0.1483	-15.728
2199	300649	0.24	9.09	NaN	6.36	NaN	1284.82	24.4	10转10	08-22	4.39	19.92	57.4352	12.8482	0.2007	64.4918	1.0076	0.7978	225.6205	NaN	NaN	0.4942	364.225	26.8015	24.4032	NaN	NaN	9.0909	NaN	4.3024	4.3024	152.9141	1182.9414	89.1982	10.8018	-0.0813	-0.016	-0.4083	-0.1483	-15.728
2200	300649	0.24	9.09	NaN	6.36	NaN	1284.82	24.4	10转10	08-22	4.39	19.92	57.4352	12.8482	0.2007	64.4918	1.0076	0.7978	225.6205	NaN	NaN	0.4942	364.225	26.8015	24.4032	NaN	NaN	9.0909	NaN	4.3024	4.3024	152.9141	1182.9414	89.1982	10.8018	-0.0813	-0.016	-0.4083	-0.1483	-15.728
2201	300649	0.24	9.09	NaN	6.36	NaN	1284.82	24.4	10转10	08-22	4.39	19.92	57.4352	12.8482	0.2007	64.4918	1.0076	0.7978	225.6205	NaN	NaN	0.4942	364.225	26.8015	24.4032	NaN	NaN	9.0909	NaN	4.3024	4.3024	152.9141	1182.9414	89.1982	10.8018	-0.0813	-0.016	-0.4083	-0.1483	-15.728
2202	600583	0.05	-75.0	NaN	0.86	NaN	19985.04	-77.03	NaN	08-22	0.87	4.78	18.9349	199.8504	0.0452	4178.3372	0.945	2.1415	84.0532	1.6334	110.1996	0.2987	602.6113	-18.0017	-77.2151	0.5032	-0.1671	-75.0	0.5085	2.3742	1.9343	111.5297	289.5873	78.9595	21.0405	-0.2347	-0.0339	-4.9657	-0.1609	-17.0051
2203	600583	0.05	-75.0	NaN	0.86	NaN	19985.04	-77.03	NaN	08-22	0.87	4.78	18.9349	199.8504	0.0452	4178.3372	0.945	2.1415	84.0532	1.6334	110.1996	0.2987	602.6113	-18.0017	-77.2151	0.5032	-0.1671	-75.0	0.5085	2.3742	1.9343	111.5297	289.5873	78.9595	21.0405	-0.2347	-0.0339	-4.9657	-0.1609	-17.0051
2204	000952	0.2	-11.06	NaN	7.47	NaN	5071.78	-10.84	NaN	08-22	7.19	14.1	49.0173	50.7178	0.2014	359.5126	1.4283	3.6263	49.6374	1.4506	124.0866	0.8738	205.9968	13.4426	-13.3384	23.973	-2.7809	-11.0619	23.8415	0.5335	0.3453	9.0378	514.945	44.0316	55.9684	0.0783	0.0175	0.5479	0.0312	3.6951
2205	000952	0.2	-11.06	NaN	7.47	NaN	5071.78	-10.84	NaN	08-22	7.19	14.1	49.0173	50.7178	0.2014	359.5126	1.4283	3.6263	49.6374	1.4506	124.0866	0.8738	205.9968	13.4426	-13.3384	23.973	-2.7809	-11.0619	23.8415	0.5335	0.3453	9.0378	514.945	44.0316	55.9684	0.0783	0.0175	0.5479	0.0312	3.6951
